ref_no,paired,publication_status,extraction_properties,polyinfo_properties,exact_matched,value_diff,polyinfo_only,extraction_only,polyinfo_process_families,extraction_process_families,missing_process_families,polyinfo_specialized_fields,extraction_specialized_fields,missing_specialized_fields,failure_stages
reference_no_0020284,True,partial,84,94,24,21,49,39,"[""polymerization""]","[""polymerization""]",[],"[""characteristics_of_material"", ""crystallinity"", ""crystallographic_data"", ""solution_viscosity""]","[""crystallinity"", ""crystallographic_data"", ""morphology"", ""solution_viscosity""]","[""characteristics_of_material""]",[]
reference_no_0021296,True,partial,0,38,0,0,38,0,"[""forming"", ""polymerization"", ""sample_shape""]","[""forming"", ""polymerization"", ""post_treatment""]","[""sample_shape""]","[""characteristics_of_material"", ""crystallinity"", ""crystallographic_data""]",[],"[""characteristics_of_material"", ""crystallinity"", ""crystallographic_data""]","[""stage5""]"
reference_no_0022895,True,complete,0,17,0,0,17,0,"[""polymerization""]","[""polymerization""]",[],"[""characteristics_of_material"", ""degree_of_polymerization"", ""solution_viscosity""]",[],"[""characteristics_of_material"", ""degree_of_polymerization"", ""solution_viscosity""]","[""stage2"", ""stage5""]"
reference_no_0024941,True,partial,11,27,0,9,18,2,"[""polymerization""]","[""polymerization""]",[],"[""average_molecular_weight"", ""characteristics_of_material"", ""primary_structure_informations""]","[""average_molecular_weight""]","[""characteristics_of_material"", ""primary_structure_informations""]","[""stage4"", ""stage5""]"
reference_no_0025452,True,partial,13,135,0,0,135,13,"[""polymerization"", ""sample_shape""]",[],"[""polymerization"", ""sample_shape""]","[""characteristics_of_material"", ""crystallinity"", ""solution_viscosity""]",[],"[""characteristics_of_material"", ""crystallinity"", ""solution_viscosity""]","[""stage5""]"
reference_no_0026548,True,partial,0,22,0,0,22,0,"[""forming"", ""polymerization"", ""sample_shape""]","[""forming"", ""polymerization"", ""post_treatment""]","[""sample_shape""]","[""characteristics_of_material""]",[],"[""characteristics_of_material""]","[""stage4"", ""stage5""]"
reference_no_0026714,True,complete,4,6,2,0,4,2,"[""polymerization"", ""sample_shape""]","[""polymerization"", ""post_treatment""]","[""sample_shape""]","[""characteristics_of_material"", ""crystallinity""]",[],"[""characteristics_of_material"", ""crystallinity""]","[""stage4"", ""stage5""]"
reference_no_0027435,True,partial,32,101,22,8,71,2,"[""forming"", ""polymerization"", ""sample_shape""]","[""forming"", ""polymerization""]","[""sample_shape""]","[""average_molecular_weight"", ""characteristics_of_material"", ""crystallinity"", ""primary_structure_informations"", ""solution_viscosity""]","[""average_molecular_weight"", ""crystallinity"", ""solution_viscosity""]","[""characteristics_of_material"", ""primary_structure_informations""]","[""stage2""]"
reference_no_0028883,True,complete,8,34,0,3,31,5,"[""mixing_blending""]","[""forming"", ""mixing_blending""]",[],"[""average_molecular_weight"", ""characteristics_of_material"", ""crystallinity"", ""stereoregularity""]","[""morphology""]","[""average_molecular_weight"", ""characteristics_of_material"", ""crystallinity"", ""stereoregularity""]","[""stage1"", ""stage3""]"
reference_no_0028993,True,complete,4,32,1,0,31,3,"[""polymerization"", ""sample_shape""]","[""mixing_blending"", ""polymerization""]","[""sample_shape""]","[""characteristics_of_material""]",[],"[""characteristics_of_material""]","[""stage4"", ""stage5""]"
reference_no_0033493,True,partial,15,21,0,0,21,15,"[""polymerization"", ""sample_shape""]","[""polymerization""]","[""sample_shape""]","[""average_molecular_weight"", ""characteristics_of_material""]",[],"[""average_molecular_weight"", ""characteristics_of_material""]","[""stage1""]"
reference_no_0033617,True,partial,7,2,0,0,2,7,"[""polymerization"", ""sample_shape""]","[""polymerization""]","[""sample_shape""]","[""characteristics_of_material"", ""primary_structure_informations""]",[],"[""characteristics_of_material"", ""primary_structure_informations""]","[""stage5""]"
reference_no_0033940,True,partial,10,133,7,1,125,2,"[""forming"", ""polymerization"", ""sample_shape""]","[""forming"", ""polymerization"", ""post_treatment""]","[""sample_shape""]","[""average_molecular_weight"", ""characteristics_of_material"", ""primary_structure_informations"", ""solution_viscosity""]","[""average_molecular_weight"", ""solution_viscosity""]","[""characteristics_of_material"", ""primary_structure_informations""]","[""stage3"", ""stage5""]"
reference_no_0036922,True,complete,12,46,6,1,39,5,"[""polymerization""]","[""polymerization""]",[],"[""average_molecular_weight"", ""characteristics_of_material"", ""crystallinity""]","[""morphology""]","[""average_molecular_weight"", ""characteristics_of_material"", ""crystallinity""]","[""stage1"", ""stage5""]"
reference_no_0037268,True,complete,26,46,16,10,20,0,"[""mixing_blending""]","[""mixing_blending"", ""post_treatment""]",[],"[""average_molecular_weight"", ""characteristics_of_material"", ""crystallinity"", ""morphology""]","[""average_molecular_weight"", ""crystallinity""]","[""characteristics_of_material"", ""morphology""]","[""stage5""]"
reference_no_0037607,True,partial,70,28,0,5,23,65,"[""polymerization""]","[""polymerization""]",[],"[""average_molecular_weight"", ""characteristics_of_material""]","[""average_molecular_weight""]","[""characteristics_of_material""]",[]
reference_no_0037645,True,partial,16,42,6,6,30,4,"[""polymerization""]","[""polymerization""]",[],"[""average_molecular_weight"", ""characteristics_of_material"", ""degree_of_polymerization"", ""primary_structure_informations""]","[""average_molecular_weight"", ""degree_of_polymerization""]","[""characteristics_of_material"", ""primary_structure_informations""]",[]
reference_no_0037886,True,complete,4,3,0,1,2,3,"[""forming"", ""polymerization"", ""sample_shape""]","[""forming"", ""polymerization"", ""post_treatment""]","[""sample_shape""]","[""characteristics_of_material""]",[],"[""characteristics_of_material""]","[""stage5""]"
reference_no_0037921,True,complete,6,10,3,0,7,3,"[""forming"", ""polymerization"", ""sample_shape""]","[""forming"", ""polymerization""]","[""sample_shape""]","[""characteristics_of_material"", ""solution_viscosity""]",[],"[""characteristics_of_material"", ""solution_viscosity""]","[""stage5""]"
reference_no_0038527,True,partial,23,54,18,4,32,1,"[""polymerization""]","[""polymerization"", ""post_treatment""]",[],"[""average_molecular_weight"", ""characteristics_of_material"", ""crystallinity"", ""crystallographic_data"", ""degree_of_polymerization"", ""primary_structure_informations""]","[""average_molecular_weight"", ""morphology""]","[""characteristics_of_material"", ""crystallinity"", ""crystallographic_data"", ""degree_of_polymerization"", ""primary_structure_informations""]","[""stage5""]"
