property,matched,value_diff,polyinfo_only,extraction_only,precision,recall,f1,semantic_recall
thermal decomposition weight loss,0,0,189,0,0.0,0.0,0.0,0.0
thermal decomposition temperature,63,33,117,8,0.6058,0.2958,0.3975,0.4507
intrinsic viscosity,2,3,107,0,0.4,0.0179,0.0342,0.0446
volume resistivity,0,0,102,0,0.0,0.0,0.0,0.0
glass transition temperature,49,24,101,2,0.6533,0.2816,0.3936,0.4195
melting temperature,28,9,89,7,0.6364,0.2222,0.3294,0.2937
mn,0,0,80,0,0.0,0.0,0.0,0.0
mw,0,0,79,0,0.0,0.0,0.0,0.0
electric conductivity,0,34,68,14,0.0,0.0,0.0,0.3333
tensile stress strength at break,16,5,37,1,0.7273,0.2759,0.4,0.3621
elongation at break,11,1,34,1,0.8462,0.2391,0.3729,0.2609
contact angle,7,2,32,0,0.7778,0.1707,0.28,0.2195
surface tension,0,8,26,0,0.0,0.0,0.0,0.2353
linear expansion coefficient,0,0,24,0,0.0,0.0,0.0,0.0
tensile modulus,10,3,24,0,0.7692,0.2703,0.4,0.3514
crystallization temperature,9,2,15,0,0.8182,0.3462,0.4865,0.4231
dielectric constant ac,0,0,14,0,0.0,0.0,0.0,0.0
dynamic mechanical properties storage modulus,0,0,12,0,0.0,0.0,0.0,0.0
water absorption,0,10,12,0,0.0,0.0,0.0,0.4545
heat of fusion,0,0,9,5,0.0,0.0,0.0,0.0
izod impact,0,0,9,0,0.0,0.0,0.0,0.0
softening temperature,0,0,7,0,0.0,0.0,0.0,0.0
lc phase transition temperature,0,0,6,0,0.0,0.0,0.0,0.0
unknown,0,0,6,0,0.0,0.0,0.0,0.0
vicat softening temperature,0,0,6,0,0.0,0.0,0.0,0.0
heat of fusion mol conversion,0,0,4,0,0.0,0.0,0.0,0.0
dynamic mechanical properties loss tangent,0,0,2,0,0.0,0.0,0.0,0.0
dielectric loss factor,0,0,1,0,0.0,0.0,0.0,0.0
dynamic flexural properties loss tanget,0,0,1,0,0.0,0.0,0.0,0.0
dynamic flexural properties storage modulus,0,0,1,0,0.0,0.0,0.0,0.0
dynamic mechanical properties loss modulus,0,0,1,0,0.0,0.0,0.0,0.0
activation energy of relaxation,0,0,0,1,0.0,0.0,0.0,0.0
average number of triphenylamine repeating units,0,0,0,2,0.0,0.0,0.0,0.0
band gap,0,0,0,1,0.0,0.0,0.0,0.0
c si surface atomic ratio,0,0,0,2,0.0,0.0,0.0,0.0
complete decomposition temperature,0,0,0,2,0.0,0.0,0.0,0.0
completely oxidized si atomic percentage,0,0,0,1,0.0,0.0,0.0,0.0
decomposition onset temperature,0,0,0,1,0.0,0.0,0.0,0.0
degree of functionalization,0,0,0,2,0.0,0.0,0.0,0.0
dehydration,0,0,0,1,0.0,0.0,0.0,0.0
density,0,0,0,10,0.0,0.0,0.0,0.0
dielectric constant dc,0,0,0,2,0.0,0.0,0.0,0.0
dynamic tensile properties,0,0,0,5,0.0,0.0,0.0,0.0
electroactivity retention after 500 cycles,0,0,0,1,0.0,0.0,0.0,0.0
elemental si atomic percentage,0,0,0,1,0.0,0.0,0.0,0.0
elongation at yield,0,0,0,1,0.0,0.0,0.0,0.0
field effect mobility annealed,0,0,0,1,0.0,0.0,0.0,0.0
fl spectrum fwhm,0,0,0,1,0.0,0.0,0.0,0.0
friction coefficient,0,0,0,2,0.0,0.0,0.0,0.0
ftir peak wavenumber,0,0,0,136,0.0,0.0,0.0,0.0
graft density,0,0,0,2,0.0,0.0,0.0,0.0
impact strength increase ratio,0,0,0,2,0.0,0.0,0.0,0.0
induction period t mathrm s,0,0,0,1,0.0,0.0,0.0,0.0
inherent viscosities,0,0,0,1,0.0,0.0,0.0,0.0
kuhn dissymmetry factor g 376,0,0,0,1,0.0,0.0,0.0,0.0
max,0,0,0,1,0.0,0.0,0.0,0.0
mfr,0,0,0,1,0.0,0.0,0.0,0.0
morphology domain size,0,0,0,20,0.0,0.0,0.0,0.0
morphology particle size,0,0,0,1,0.0,0.0,0.0,0.0
nmr chemical shift,0,0,0,7,0.0,0.0,0.0,0.0
o si ox atomic ratio,0,0,0,1,0.0,0.0,0.0,0.0
o si surface atomic ratio,0,0,0,2,0.0,0.0,0.0,0.0
open cell content,0,0,0,3,0.0,0.0,0.0,0.0
optical contrast,0,0,0,2,0.0,0.0,0.0,0.0
